Classification,Ticket Number,Title,Description,Account,Queue,Resources,Status,Priority,Created,Due,Impact,Issue Type,Sub-Issue Type,Resolution
CDS-Northwest,T20220711.0026,LogicMonitor (error) Alert - US-E1:IBSMANPRDAPP20_i-0afcbd6b26dd111d9 - EC2,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Production/EC2, AWS devices - EC2, Devices by Type/Misc Host: US-E1:IBSMANPRDAPP20_i-0afcbd6b26dd111d9 Severity Level: error LMD548653243 error - US-E1:IBSMANPRDAPP20_i-0afcbd6b26dd111d9 EC2 CPUUtilization
AWS EC2 instance US-E1:IBSMANPRDAPP20_i-0afcbd6b26dd111d9 is experiencing high sustained CPU utilization of 99.9167 % , placing the instance into error state.

This condition started at 2022-07-10 23:30:00 MDT, -- or 1h 14m ago.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD548653243&type=alert","iBAS, Inc (CHCS)",CDS-Northwest,"OLIVIERO, ALEX (primary)",Complete,P3 - Moderate,7/11/2022 12:14,7/12/2022 6:30,Single User,Server Management,CPU Utilization,"alert was found on the server checked this in RMM found online and working 
checked CPU usage found 100% utilization,
then checked the server in LM still usage was high,

then opened processes and found that TMBRV.exe is consuming high CPU,this service is related to Trend security Antivirus Scanning service and this consumes more CPU sometimes when scanning is on.
used taskkill command to reduce CPU usage.

then checked for polling still CPU usage was high on server keeping this under monitoring"
CDS-Northwest,T20220711.0052,Full data load on CHUSE1PRDDBC1A server - 07/11/2022,"FROM: akshay.keskar@chcs-services.com
FROM NAME: Akshay Sanjay Keskar
TO: support@synoptek.com;CustomerSupport@synoptek.com
CC: vishal.jhaveri@chcs-services.com;ganeshkumar.raveendranath@chcs-services.com;insprordb.support@chcs-services.com;chcsdba.support@chcs-services.com

Email Body: 
Hi Synoptek Team,

We have initiated Production full data load on CHUSE1PRDDBC1A server, kindly do not kill the session until the process get completes. It usually takes 9 hours approximately to complete.

session name:  chcs-hosting\nsuste

Thanks,
Akshay","iBAS, Inc (CHCS)",Global Shared Service Desk,"SHAH, ROMIL (primary)",Complete,P5 - Service Request,7/11/2022 13:34,7/16/2022 6:30,Single User,Server Management,Other,
CDS-Northwest,T20220711.0057,LogicMonitor (critical) Alert - US-E1:LB-LTC-Stage-Case360 - Application Target Groups-TG-NonProd-LTC-Case360-11443,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Non-Prod/ApplicationELB, Devices by Type/Misc Host: US-E1:LB-LTC-Stage-Case360 Severity Level: critical LMD557135762 critical - US-E1:LB-LTC-Stage-Case360 Application Target Groups-TG-NonProd-LTC-Case360-11443 HealthyHostCount
Host: US-E1:LB-LTC-Stage-Case360
Datasource: Application Target Groups-TG-NonProd-LTC-Case360-11443
Datapoint: HealthyHostCount
Level: critical
Start: 2022-07-11 01:06:00 MDT
Duration: 1h 2m
Value: 0.0
ClearValue: 
Reason: HealthyHostCount = 0 0 0

Alert Rule: This alert matches the rule iBAS, Inc_Critical
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD557135762&type=alert","iBAS, Inc (CHCS)",EOC,"KUMAR, RAJU (primary)",Complete,P3 - Moderate,7/11/2022 13:38,7/12/2022 6:30,Multiple Users,Server Management,Other,"Alert cleared while investigating

Closing this case"
CDS-Northwest,T20220711.0079,07-11-2022 CHCS Service Request for Asset Allocation & MS 365 Account Creation_Avinesh Rathore {Unencrypted Email},"FROM: chcsinhr@globalupside.com
FROM NAME: CHCS India HR
TO: support@synoptek.com;akadia@synoptek.com;kgajjar@synoptek.com
CC: lalita.sundriyal@chcs-services.com;mmejia@teleocapital.com;chcsinhr@globalupside.com;sandeep.jamwal@chcs-services.com

Email Body: 
Hi Team,

Please find below updated details and help with the Credentials, Hardware Asset Allocation and required application to below mention New User.

Let us know if any other details are required.

Today's Date
11 July 2022
First Name
Avinesh
Last Name
Rathore
Personal email
avineshr32@gmail.com<mailto:avineshr32@gmail.com>
Personal cell/mobile number
9643400763
Status (temp to hire, permanent, contractor)
Permanent
Job Title
Claims Specialist
Supervisor
Sandeep Jamwal
Office Location Affiliation
Noida
Country
India
Direct Reports to:
Sandeep Jamwal
Department
Aflac Ops
Client Group
CHCS
Requesting CHCS-Services MS 365 Account

Date of Hire
11 July 2022
Date Needed
11 July 2022
Add to Distribution list:
INDIAAssociates@chcs-services.com<mailto:INDIAAssociates@chcs-services.com>
Send username and password to:
deepika.kukreja@chcs-services.com<mailto:deepika.kukreja@chcs-services.com> sandeep.jamwal@chcs-services.com<mailto:sandeep.jamwal@chcs-services.com>

Thanks,
Kumari Roli
Globa","iBAS, Inc (CHCS)",Business Development,"GAJJAR, KISHAN (primary) | EACHAMBADI, NAUNIT",Complete,Scheduled,7/11/2022 14:12,8/6/2022 15:30,Single User,User Administration,User Onboard,
CDS-Northwest,T20220711.0080,07-11-2022 CHCS Service Request for Asset Allocation & MS 365 Account Creation_Akamdeep Kaur {Unencrypted Email},"FROM: chcsinhr@globalupside.com
FROM NAME: CHCS India HR
TO: support@synoptek.com;akadia@synoptek.com;kgajjar@synoptek.com
CC: lalita.sundriyal@chcs-services.com;mmejia@teleocapital.com;sandeep.jamwal@chcs-services.com;chcsinhr@globalupside.com

Email Body: 
Hi Team,

Please find below updated details and help with the Credentials, Hardware Asset Allocation and required application to below mention New User.

Let us know if any other details are required.

Today's Date
11 July 2022
First Name
Akamdeep
Last Name
Kaur
Personal email
deeparora0309@gmail.com<mailto:deeparora0309@gmail.com>
Personal cell/mobile number
8791689731
Status (temp to hire, permanent, contractor)
Permanent
Job Title
Claims Specialist
Supervisor
Sandeep Jamwal
Office Location Affiliation
Noida
Country
India
Direct Reports to:
Sandeep Jamwal
Department
Aflac Ops
Client Group
CHCS
Requesting CHCS-Services MS 365 Account

Date of Hire
11 July 2022
Date Needed
11 July 2022
Add to Distribution list:
INDIAAssociates@chcs-services.com<mailto:INDIAAssociates@chcs-services.com>
Send username and password to:
deepika.kukreja@chcs-services.com<mailto:deepika.kukreja@chcs-services.com> sandeep.jamwal@chcs-services.com<mailto:sandeep.jamwal@chcs-services.com>

Thanks,
Kumari Roli
G","iBAS, Inc (CHCS)",Business Development,"GAJJAR, KISHAN (primary) | EACHAMBADI, NAUNIT",Complete,Scheduled,7/11/2022 14:12,8/6/2022 15:30,Single User,User Administration,User Onboard,
CDS-Northwest,T20220711.0083,FW: ***Don't Get Locked Out*** Take One Minute to Complete Your New Microsoft App Center Update,"FROM: divyesh.kotekar@chcs-services.com
FROM NAME: Divyesh Kotekar
TO: support@synoptek.com
CC: 

Email Body: 
Hi,

I have received the below email.

It looks suspicious to me, please confirm if it is spam/phishing attempt..

Regards
Divyesh

From: Microsoft 365 App Center Online <noreply@account-microsoft365.com>
Sent: 08 July 2022 20:33
To: Divyesh Kotekar <divyesh.kotekar@chcs-services.com>
Subject: ***Don't Get Locked Out*** Take One Minute to Complete Your New Microsoft App Center Update

Dear user (divyesh.kotekar@chcs-services.com<mailto:divyesh.kotekar@chcs-services.com>),

We have successfully billed you automatically for your new Microsoft App Center.

Please ensure that your security info is up-to-date, so we can help if you forget your password or to prevent an unusual sign-in.

https://urldefense.proofpoint.com/v2/url?u=http-3A__account-2Dmicrosoft365.com&d=DwIGaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=MsuYFvaA0ytGftdRCylp2tHZS93NjR1YTHLbkDEpl3g&s=8WmutyhLDk5CSraK7zvn2kQ8DGVeZ7EAYkNuY-hQe28&e=<https://urldefense.proofpoint.com/","iBAS, Inc (CHCS)",Global Shared Service Desk,"ANSARI, MOSIN (primary)",Complete,P3 - Moderate,7/11/2022 14:18,7/12/2022 6:30,Single User,User Administration,Other,
CDS-Northwest,T20220711.0084,LogicMonitor (error) Alert - CHUSE1PRDDBC1A - Volume Usage-E:\,"Group: Devices by Type/SQL Servers, System Type/All Servers (no LM Collectors), Devices by Type/Windows Servers, System Type/Windows, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US East 1/Servers - Prod/SQL/SQL Clusters, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/SFTP Arch - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/RDB Arch - BAU AFLAC - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Non-Prod/Case360 - BAU - QA, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/Case360 - BAU - Prod, System Type/SYN DBA SQL Servers - SQL Management, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/UPCS GENIII MAVRO - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/_Managed SQL Servers Host: CHUSE1PRDDBC1A Severity Level: error LMD536909416 error - CHUSE1PRDDBC1A Volume Usage-E:\ PercentUsed
The filesystem E:\  on host CHUSE1PRDDBC1A is now 77.0 percent used, as of 2022-07-11 02:17:48 MDT.
Please free up some space, or adjust the thresholds for this volume.
This state has existed for 0h 32m.

**Volume Utilization Procedure**:  https://synoptek.itglue.com/2536478/docs/5829427

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD536909416&type=alert","iBAS, Inc (CHCS)",SO - Server Engineering,"PARIKH, JASHRAJ (primary) | THEKKEN, SREEKANTH",Complete,P3 - Moderate,7/11/2022 14:20,7/12/2022 6:30,Single User,Server Management,Storage Utilization,
CDS-Northwest,T20220711.0111,Master ticket: Commserve communication errors with media agents,"Backup Job Failed - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: ma01-ibas-use1
--Agent Type: Windows File System
--Instance: Not Applicable
--Backupset: defaultBackupSet
--Subclient: DDBBackup

Detected Time: Mon Jul 11 02:39:15 2022

Job Information
---------------------------------------------------
Job ID: 6263756
Backup Level: Full
Scheduled Time: Mon Jul 11 02:00:06 2022
Start Time: Mon Jul 11 02:00:15 2022
End Time: Mon Jul 11 02:39:14 2022","iBAS, Inc (CHCS)",SO - Server Backups,"HORNE, CORY (primary)",Complete,P2 - Impaired,7/11/2022 15:10,7/11/2022 21:10,Multiple Users,Backups,Commvault - Backup Job Failure,"There was an error over the weekend that prevented the Commserve from communicating with multiple media agents.  The issue was has been addressed and communication between the Commserve and the media agent has been restored and confirmed.  Backup jobs are running as scheduled, successfully writing data, and completing as expected."
CDS-Northwest,T20220711.0123,Re: CHCS-Services MS Office Account Creation Request for Marbel Gayle 7/8/22,"FROM: ken.cook@chcs-services.com
FROM NAME: Ken Cook
TO: support@synoptek.com
CC: nora.dugger@chcs-services.com;Kate.Walker@chcs-services.com

Email Body: 
Synoptek,
Status please.

Get Outlook for iOS<https://urldefense.proofpoint.com/v2/url?u=https-3A__aka.ms_o0ukef&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=iZ8OYVKNK2HfXz5O7VijyW4lAVU1C7C2SRYqf-rkL0U&s=lOWS6Nzy6pMy5u3S3axqDhMcRWUEUl8nQ-526tnWRGw&e=>
________________________________
From: Kate Walker <Kate.Walker@chcs-services.com>
Sent: Friday, July 8, 2022 2:11:45 PM
To: support@synoptek.com <support@synoptek.com>
Cc: Nora Dugger <nora.dugger@chcs-services.com>; Ken Cook <https://urldefense.proofpoint.com/v2/url?u=http-3A__ken.cook-40chcs-2Dservices.com&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=iZ8OYVKNK2HfXz5O7VijyW4lAVU1C7C2SRYqf-rkL0U&s=2_johxHKtlXus9yMqN9tFKIUKvHwoxF4yadjPwggBxo&e=>
Subject: CHCS-Services MS Office Account Creation Request for Marbel Gayle 7/8/22

Hello,

Attached is a request form for Marbel Gayle's MS Office 365 account. Please let me know if ","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 15:36,7/12/2022 13:37,,,,
CDS-Northwest,T20220711.0124,Re: CHCS-Services MS Office Account Creation Request for Steffi Garcia 7/8/22,"FROM: ken.cook@chcs-services.com
FROM NAME: Ken Cook
TO: support@synoptek.com
CC: nora.dugger@chcs-services.com;Kate.Walker@chcs-services.com

Email Body: 
Synoptek, Status please.

Get Outlook for iOS<https://urldefense.proofpoint.com/v2/url?u=https-3A__aka.ms_o0ukef&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=kvGOptEiz67TOk38pHrGCglLMvZr0Ery0sOjn7X0jVQ&s=Ro1r1B9B8S9bgM-J5RwRCFzcfYaBCJ3ZBdompUAq4TI&e=>
________________________________
From: Kate Walker <Kate.Walker@chcs-services.com>
Sent: Friday, July 8, 2022 2:08:22 PM
To: support@synoptek.com <support@synoptek.com>
Cc: Nora Dugger <nora.dugger@chcs-services.com>; Ken Cook <https://urldefense.proofpoint.com/v2/url?u=http-3A__ken.cook-40chcs-2Dservices.com&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=kvGOptEiz67TOk38pHrGCglLMvZr0Ery0sOjn7X0jVQ&s=jva2VIWMT0L_O5eMVjZi-zq6TOBVv9nTD9cO1VA0wAk&e=>
Subject: CHCS-Services MS Office Account Creation Request for Steffi Garcia 7/8/22

Hello,

Attached is a request form for Steffi Garcia's MS Office 365 account. Please let me know i","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 15:38,7/12/2022 13:39,,,,
CDS-Northwest,T20220711.0125,Re: CHCS-Services MS Office Account Creation Request for George Smirnov 7/8/22,"FROM: ken.cook@chcs-services.com
FROM NAME: Ken Cook
TO: support@synoptek.com
CC: nora.dugger@chcs-services.com;Kate.Walker@chcs-services.com

Email Body: 
Synoptek,
Status please.

Get Outlook for iOS<https://urldefense.proofpoint.com/v2/url?u=https-3A__aka.ms_o0ukef&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=UvmVauFa78EloKBntrpGlkWhej5asd9UkymTxDbdLPU&s=NiczzhihrOU89aE-v_tmUpoQku2Us5-akq2WYMNEjJ0&e=>
________________________________
From: Kate Walker <Kate.Walker@chcs-services.com>
Sent: Friday, July 8, 2022 2:04:52 PM
To: support@synoptek.com <support@synoptek.com>
Cc: Ken Cook <https://urldefense.proofpoint.com/v2/url?u=http-3A__ken.cook-40chcs-2Dservices.com&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=UvmVauFa78EloKBntrpGlkWhej5asd9UkymTxDbdLPU&s=uHJWQ72KDOizt_WqNm6F9h3LzjO7GTJ7DC-_NLQYRHY&e=>; Nora Dugger <nora.dugger@chcs-services.com>
Subject: CHCS-Services MS Office Account Creation Request for George Smirnov 7/8/22

Hello,

Attached is George Smirnov's request form for a MS Office 365 account. Please let me know","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 15:38,7/12/2022 13:39,,,,
CDS-Northwest,T20220711.0127,Re: CHCS-Services MS Office Account Creation Request for Azat Safin 7/8/22,"FROM: ken.cook@chcs-services.com
FROM NAME: Ken Cook
TO: support@synoptek.com
CC: nora.dugger@chcs-services.com;Kate.Walker@chcs-services.com

Email Body: 
Synoptek,
Status please.

Get Outlook for iOS<https://urldefense.proofpoint.com/v2/url?u=https-3A__aka.ms_o0ukef&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=MCVkVA7EtWICfgNOz5MkSPmajjvZYWMKsN5wn77xKes&s=6n61rcKVywU9kHc6WT9IWuW2HfwJWt2jhqLVbCnz420&e=>
________________________________
From: Kate Walker <Kate.Walker@chcs-services.com>
Sent: Friday, July 8, 2022 1:52:22 PM
To: support@synoptek.com <support@synoptek.com>
Cc: Ken Cook <https://urldefense.proofpoint.com/v2/url?u=http-3A__ken.cook-40chcs-2Dservices.com&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=MCVkVA7EtWICfgNOz5MkSPmajjvZYWMKsN5wn77xKes&s=TjK_XDxuFu7TaFVnF2s0gt-7Qin2LstySQ8BU1RJYMY&e=>; Nora Dugger <nora.dugger@chcs-services.com>
Subject: CHCS-Services MS Office Account Creation Request for Azat Safin 7/8/22

Hello,

Attached is a request form for Azat Safin's MS Office 365 account. Please let me know if you ","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 15:39,7/12/2022 13:40,,,,
CDS-Northwest,T20220711.0128,Re: CHCS-Services MS Office Account Creation Request for Bogdan Volodarskiy 7/8/22,"FROM: ken.cook@chcs-services.com
FROM NAME: Ken Cook
TO: support@synoptek.com
CC: nora.dugger@chcs-services.com;Kate.Walker@chcs-services.com

Email Body: 
Synoptek,
Status please.

Get Outlook for iOS<https://urldefense.proofpoint.com/v2/url?u=https-3A__aka.ms_o0ukef&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=x-CQ959qBIoi6FR6sDdag19CVzbhbzCxD7kGlY4WmP4&s=9ew6WuLrF3Kz42Z6XZAun17u0xbYVQwTIh1Z-0500N8&e=>
________________________________
From: Kate Walker <Kate.Walker@chcs-services.com>
Sent: Friday, July 8, 2022 1:48:27 PM
To: support@synoptek.com <support@synoptek.com>
Cc: Ken Cook <https://urldefense.proofpoint.com/v2/url?u=http-3A__ken.cook-40chcs-2Dservices.com&d=DwIF-g&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=lXVQKPQcW1NQNprS6zLd_35EsYwMHpO5zna_MGAJEtc&m=x-CQ959qBIoi6FR6sDdag19CVzbhbzCxD7kGlY4WmP4&s=bZ0-RtWyNK2-ifpC_TVCuzJHjgrIY8R_3WnfXUCLNOk&e=>; Nora Dugger <nora.dugger@chcs-services.com>
Subject: CHCS-Services MS Office Account Creation Request for Bogdan Volodarskiy 7/8/22

Hello!

Attached is a request form for Bogdan Volodarskiy's MS Office account. Please let me ","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 15:39,7/12/2022 13:40,,,,
CDS-Northwest,T20220711.0138,Backup Job Failure: Pandora,"Backup Job Failed - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: Pandora
--Agent Type: Proxy Client File System
--Instance: Not Applicable
--Backupset: defaultBackupSet
--Subclient: *CFG

Detected Time: Mon Jul 11 03:40:02 2022

Job Information
---------------------------------------------------
Job ID: 6261166
Backup Level: Incremental
Scheduled Time: Sun Jul 10 19:00:04 2022
Start Time: Sun Jul 10 19:00:33 2022
End Time: Mon Jul 11 03:39:58 2022","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 16:10,7/11/2022 15:09,,,,
CDS-Northwest,T20220711.0141,Backup Job Failure: Pandora,"Backup Job Failed - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: Pandora
--Agent Type: Proxy Client File System
--Instance: Not Applicable
--Backupset: defaultBackupSet
--Subclient: *SECDTA

Detected Time: Mon Jul 11 03:42:09 2022

Job Information
---------------------------------------------------
Job ID: 6261161
Backup Level: Incremental
Scheduled Time: Sun Jul 10 19:00:04 2022
Start Time: Sun Jul 10 19:00:32 2022
End Time: Mon Jul 11 03:42:08 2022","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 16:13,7/11/2022 15:12,,,,
CDS-Northwest,T20220711.0143,LogicMonitor (critical) Alert - IBSMANSTGDB02 - Memory and Processes,"Group: Devices by Type/Windows Servers, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Non-Prod/CITRON - Stage, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/_Managed SQL Servers, Devices by Type/IIS Servers, System Type/All Servers (no LM Collectors), Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US East 1/Servers - Non-Prod/sql server, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Non-Prod/Automate - Non Prod, Devices by Type/SQL Servers, System Type/Windows Host: IBSMANSTGDB02 Severity Level: critical LMD537640758 critical - IBSMANSTGDB02 Memory and Processes MemoryUtilizationPercent
Physical memory on IBSMANSTGDB02 is now 91.4939 % in use.
This may indicate a memory shortage, that will increase paging rates to/from disk.  However, it may also indicate applications (such as SQL Server) that claim a lot of physical memory for caching purposes.

Alert Rule: This alert matches the rule iBAS, Inc_Critical
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD537640758&type=alert","iBAS, Inc (CHCS)",EOC,"JOHNSON, LUCUS (primary)",Complete,P3 - Moderate,7/11/2022 16:17,7/12/2022 6:30,Single User,Server Management,Memory Utilization,"Memory usage dropped

Closing case."
CDS-Northwest,T20220711.0144,LogicMonitor (error) Alert - IBSMANPRDDB01 - Memory and Processes,"Group: Devices by Type/Windows Servers, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/_Managed SQL Servers, System Type/All Servers (no LM Collectors), Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US East 1/Servers - Prod/SQL/SQL Servers, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/Visiflow, Devices by Type/SQL Servers, System Type/Windows Host: IBSMANPRDDB01 Severity Level: error LMD536378854 error - IBSMANPRDDB01 Memory and Processes MemoryUtilizationPercent
Physical memory on IBSMANPRDDB01 is now 63.0447 % in use.
This may indicate a memory shortage, that will increase paging rates to/from disk.  However, it may also indicate applications (such as SQL Server) that claim a lot of physical memory for caching purposes.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD536378854&type=alert","iBAS, Inc (CHCS)",EOC,"JOHNSON, LUCUS (primary)",Complete,P3 - Moderate,7/11/2022 16:17,7/12/2022 6:30,Single User,Server Management,Memory Utilization,"Memory  usage dropped

Closing case."
CDS-Northwest,T20220711.0145,LogicMonitor (error) Alert - CHUSE1PRDDBC1B - SQL System Jobs-DBA_Quarterly_Backup_Verification (MSSQLSERVER),"Group: Devices by Type/SQL Servers, System Type/All Servers (no LM Collectors), Devices by Type/Windows Servers, System Type/Windows, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US East 1/Servers - Prod/SQL/SQL Clusters, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/SFTP Arch - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/RDB Arch - BAU AFLAC - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Non-Prod/Case360 - BAU - QA, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/Case360 - BAU - Prod, System Type/SYN DBA SQL Servers - SQL Management, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/Servers - Prod/UPCS GENIII MAVRO - Prod, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/_Managed SQL Servers Host: CHUSE1PRDDBC1B Severity Level: error LMD572793721 error - CHUSE1PRDDBC1B SQL System Jobs-DBA_Quarterly_Backup_Verification (MSSQLSERVER) job_failed
Host: CHUSE1PRDDBC1B
Datasource: SQL System Jobs-DBA_Quarterly_Backup_Verification (MSSQLSERVER)
Datapoint: job_failed
Level: error
Start: 2022-07-11 04:45:40 MDT
Duration: 0h 2m
Value: 1.0
ClearValue: 
Reason: job_failed = 1 1

Alert Rule: This alert matches the rule Alerts to DBA Team - SystemJob DataSource
Recipients: Alert now is going to stage 1 recipients:  EOCUser(Autotask Integration 2 - SQL)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD572793721&type=alert","iBAS, Inc (CHCS)",SO - Database Management,,Complete,P4 - Functional,7/11/2022 16:17,7/14/2022 6:30,,Monitoring,Maintenance,
CDS-Northwest,T20220711.0204,Backup Job Failure: Pandora,"Backup Job Failed - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: Pandora
--Agent Type: Proxy Client File System
--Instance: Not Applicable
--Backupset: defaultBackupSet
--Subclient: *IBM

Detected Time: Mon Jul 11 04:16:56 2022

Job Information
---------------------------------------------------
Job ID: 6261170
Backup Level: Incremental
Scheduled Time: Sun Jul 10 19:00:04 2022
Start Time: Sun Jul 10 19:00:34 2022
End Time: Mon Jul 11 04:16:53 2022","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 16:48,7/11/2022 15:47,,,,
CDS-Northwest,T20220711.0205,Backup Job Failure: Pandora,"Backup Job Failed - Prioritize as P3 - Moderate.
---------------------------------------------------

CommCell: cs01-syn-las1

Client: Pandora
--Agent Type: Proxy Client File System
--Instance: Not Applicable
--Backupset: defaultBackupSet
--Subclient: *HST log

Detected Time: Mon Jul 11 04:17:22 2022

Job Information
---------------------------------------------------
Job ID: 6261185
Backup Level: Incremental
Scheduled Time: Sun Jul 10 19:00:04 2022
Start Time: Sun Jul 10 19:00:35 2022
End Time: Mon Jul 11 04:17:20 2022","iBAS, Inc (CHCS)",Merged Tickets,,Complete,Scheduled,7/11/2022 16:48,7/11/2022 15:47,,,,
